"assembly"	"sample"	"design"	"raw total sequences"	"filtered sequences"	"sequences"	"is sorted"	"1st fragments"	"last fragments"	"reads mapped"	"reads mapped and paired"	"reads unmapped"	"reads properly paired"	"reads paired"	"reads duplicated"	"reads MQ0"	"reads QC failed"	"non-primary alignments"	"supplementary alignments"	"total length"	"total first fragment length"	"total last fragment length"	"bases mapped"	"bases mapped (cigar)"	"bases trimmed"	"bases duplicated"	"mismatches"	"error rate"	"average length"	"average first fragment length"	"average last fragment length"	"maximum length"	"maximum first fragment length"	"maximum last fragment length"	"average quality"	"insert size average"	"insert size standard deviation"	"inward oriented pairs"	"outward oriented pairs"	"pairs with other orientation"	"pairs on different chromosomes"	"percentage of properly paired reads (%)"
"hg38"	"HG00323"	"1kGP WGS
long-read"	3460562	0	3460562	1	3460562	0	3294207	0	166355	0	0	0	6386	0	1018041	487964	69053910000	69053910000	0	67555870000	66784100000	0	0	4211695000	0.06306434	19955	19955	0	671550	671550	0	255	0	0	0	0	0	0	0
"hg38"	"HG00324"	"1kGP WGS
long-read"	2540050	0	2540050	1	2540050	0	2383805	0	156245	0	0	0	5053	0	699695	429108	49568970000	49568970000	0	48087770000	47050910000	0	0	3224457000	0.06853123	19515	19515	0	774670	774670	0	255	0	0	0	0	0	0	0
"hg38"	"HG00325"	"1kGP WGS
long-read"	2534013	0	2534013	1	2534013	0	2383985	0	150028	0	0	0	9924	0	767062	451515	56192020000	56192020000	0	55123120000	54478280000	0	0	3646608000	0.06693692	22175	22175	0	1164817	1164817	0	255	0	0	0	0	0	0	0
"hg38"	"HG00334"	"1kGP WGS
long-read"	2380615	0	2380615	1	2380615	0	2256259	0	124356	0	0	0	4165	0	647114	348150	60656630000	60656630000	0	59435400000	58832160000	0	0	4182592000	0.07109363	25479	25479	0	798528	798528	0	255	0	0	0	0	0	0	0
"hg38"	"HG00335"	"1kGP WGS
long-read"	1554145	0	1554145	1	1554145	0	1465624	0	88521	0	0	0	2688	0	503349	233402	36417470000	36417470000	0	35331070000	34632210000	0	0	2715659000	0.07841425	23432	23432	0	486305	486305	0	255	0	0	0	0	0	0	0
"hg38"	"HG00336"	"1kGP WGS
long-read"	2171184	0	2171184	1	2171184	0	2038136	0	133048	0	0	0	4723	0	697024	331881	52759060000	52759060000	0	51114040000	50220330000	0	0	4941624000	0.09839888	24300	24300	0	673266	673266	0	255	0	0	0	0	0	0	0
"hg38"	"HG00338"	"1kGP WGS
long-read"	2417201	0	2417201	1	2417201	0	2305480	0	111721	0	0	0	6471	0	708950	441796	51162080000	51162080000	0	49895300000	48973980000	0	0	4157809000	0.08489832	21166	21166	0	876422	876422	0	255	0	0	0	0	0	0	0
"hg38"	"HG00342"	"1kGP WGS
long-read"	12241770	0	12241770	1	12241770	0	11610580	0	631181	0	0	0	63140	0	3679901	1535557	87272570000	87272570000	0	84833420000	83928100000	0	0	5523354000	0.06581055	7129	7129	0	947029	947029	0	255	0	0	0	0	0	0	0
"hg38"	"HG00346"	"1kGP WGS
long-read"	3670534	0	3670534	1	3670534	0	3445075	0	225459	0	0	0	10977	0	1142469	587235	55857460000	55857460000	0	53922010000	52857160000	0	0	3875473000	0.07331973	15218	15218	0	380235	380235	0	255	0	0	0	0	0	0	0
"hg38"	"HG00349"	"1kGP WGS
long-read"	7857439	0	7857439	1	7857439	0	7433243	0	424196	0	0	0	26027	0	2417667	1536687	68819420000	68819420000	0	66260470000	65035070000	0	0	5018825000	0.07717106	8759	8759	0	1284934	1284934	0	255	0	0	0	0	0	0	0
"hg38"	"HG00357"	"1kGP WGS
long-read"	9245136	0	9245136	1	9245136	0	8823274	0	421862	0	0	0	40532	0	2716393	1784210	95820240000	95820240000	0	93095330000	91583370000	0	0	6299844000	0.06878807	10364	10364	0	1149402	1149402	0	255	0	0	0	0	0	0	0
"hg38"	"HG00360"	"1kGP WGS
long-read"	15175600	0	15175600	1	15175600	0	14459540	0	716053	0	0	0	86744	0	4755548	3580158	83452630000	83452630000	0	80678420000	79392110000	0	0	5483411000	0.06906746	5499	5499	0	884476	884476	0	255	0	0	0	0	0	0	0
"hg38"	"HG00361"	"1kGP WGS
long-read"	6308632	0	6308632	1	6308632	0	6015267	0	293365	0	0	0	41317	0	1954862	1415232	65107160000	65107160000	0	63365010000	62300010000	0	0	4489666000	0.07206526	10320	10320	0	666911	666911	0	255	0	0	0	0	0	0	0
"hg38"	"HG00365"	"1kGP WGS
long-read"	10114850	0	10114850	1	10114850	0	9683146	0	431702	0	0	0	59645	0	3044752	2470807	59496160000	59496160000	0	57818370000	56911520000	0	0	3739906000	0.0657144	5882	5882	0	700908	700908	0	255	0	0	0	0	0	0	0
"hg38"	"HG00367"	"1kGP WGS
long-read"	8755906	0	8755906	1	8755906	0	8233341	0	522565	0	0	0	32670	0	2351387	1451013	80346850000	80346850000	0	77370530000	75685880000	0	0	6602351000	0.08723359	9176	9176	0	568756	568756	0	255	0	0	0	0	0	0	0
"hg38"	"HG00368"	"1kGP WGS
long-read"	14094620	0	14094620	1	14094620	0	13212460	0	882159	0	0	0	54247	0	4108667	2727890	101740100000	101740100000	0	9.7484e+10	95035390000	0	0	10520780000	0.1107039	7218	7218	0	891628	891628	0	255	0	0	0	0	0	0	0
"hg38"	"HG00377"	"1kGP WGS
long-read"	30479620	0	30479620	1	30479620	0	28770850	0	1708762	0	0	0	89754	0	8461908	3903016	338016300000	338016300000	0	329025600000	324721900000	0	0	23398440000	0.07205687	11090	11090	0	1270711	1270711	0	255	0	0	0	0	0	0	0
"hg38"	"HG00378"	"1kGP WGS
long-read"	11304940	0	11304940	1	11304940	0	10359110	0	945830	0	0	0	41876	0	3295434	2401706	89738850000	89738850000	0	84478520000	82371870000	0	0	7922922000	0.09618481	7938	7938	0	419678	419678	0	255	0	0	0	0	0	0	0
"hg38"	"HG00381"	"1kGP WGS
long-read"	5970194	0	5970194	1	5970194	0	5675813	0	294381	0	0	0	10734	0	1720474	753301	106858400000	106858400000	0	103665800000	101787700000	0	0	7150822000	0.07025235	17899	17899	0	835035	835035	0	255	0	0	0	0	0	0	0
"hg38"	"HG00404"	"1kGP WGS
long-read"	8972297	0	8972297	1	8972297	0	8465872	0	506425	0	0	0	34181	0	2513865	1042343	72203400000	72203400000	0	70225190000	69480670000	0	0	4669270000	0.06720243	8047	8047	0	743335	743335	0	255	0	0	0	0	0	0	0
"hg38"	"HG00407"	"1kGP WGS
long-read"	3612566	0	3612566	1	3612566	0	3392542	0	220024	0	0	0	8267	0	1039044	408618	51899270000	51899270000	0	50724670000	50181750000	0	0	3513464000	0.07001478	14366	14366	0	707266	707266	0	255	0	0	0	0	0	0	0
"hg38"	"HG00409"	"1kGP WGS
long-read"	4943143	0	4943143	1	4943143	0	4622318	0	320825	0	0	0	21409	0	1370775	615897	46393010000	46393010000	0	45156890000	44632780000	0	0	3600874000	0.08067778	9385	9385	0	529403	529403	0	255	0	0	0	0	0	0	0
"hg38"	"HG00418"	"1kGP WGS
long-read"	4918130	0	4918130	1	4918130	0	4625430	0	292700	0	0	0	21393	0	1481890	714094	55598450000	55598450000	0	54365950000	53934240000	0	0	3656908000	0.06780308	11305	11305	0	569949	569949	0	255	0	0	0	0	0	0	0
"hg38"	"HG00419"	"1kGP WGS
long-read"	4219131	0	4219131	1	4219131	0	4019944	0	199187	0	0	0	14114	0	1414491	1110999	54559270000	54559270000	0	53222820000	52516010000	0	0	4177927000	0.07955531	12931	12931	0	384686	384686	0	255	0	0	0	0	0	0	0
"hg38"	"HG00420"	"1kGP WGS
long-read"	4184955	0	4184955	1	4184955	0	3689826	0	495129	0	0	0	12257	0	1229605	587455	44728930000	44728930000	0	41852180000	40788780000	0	0	4066818000	0.09970435	10688	10688	0	359924	359924	0	255	0	0	0	0	0	0	0
"hg38"	"HG00427"	"1kGP WGS
long-read"	5417635	0	5417635	1	5417635	0	5093450	0	324185	0	0	0	23996	0	1588546	779960	44368300000	44368300000	0	42969950000	42394780000	0	0	2870719000	0.06771398	8190	8190	0	662940	662940	0	255	0	0	0	0	0	0	0
"hg38"	"HG00436"	"1kGP WGS
long-read"	6687704	0	6687704	1	6687704	0	6210255	0	477449	0	0	0	23262	0	2286815	1571929	97836790000	97836790000	0	94431730000	92535600000	0	0	8699088000	0.09400801	14629	14629	0	864984	864984	0	255	0	0	0	0	0	0	0
"hg38"	"HG00442"	"1kGP WGS
long-read"	11943810	0	11943810	1	11943810	0	11196850	0	746964	0	0	0	64842	0	3399973	1916700	70229860000	70229860000	0	67723530000	66749750000	0	0	4610606000	0.06907301	5880	5880	0	592473	592473	0	255	0	0	0	0	0	0	0
"hg38"	"HG00443"	"1kGP WGS
long-read"	8817255	0	8817255	1	8817255	0	8305203	0	512052	0	0	0	30758	0	2518684	1250120	89430290000	89430290000	0	87024480000	85931630000	0	0	5930807000	0.06901775	10143	10143	0	1106859	1106859	0	255	0	0	0	0	0	0	0
